date,AAPL,ABBV,ABT,ADBE,AMD,AMT,AMZN,AXP,BA,BAC,BLK,CAT,COP,COST,CRM,CSCO,CVX,DIS,DUK,EQIX,FCX,GE,GOOGL,GS,HD,HON,JNJ,JPM,KO,LLY,LOW,MA,MCD,META,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PLD,SBUX,SHW,SLB,SO,T,TGT,TMO,TSLA,UNH,UPS,V,VZ,WMT,XOM
2025-09-15,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-09-16,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-09-17,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-09-18,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-09-19,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-09-22,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-09-23,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-09-24,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-09-25,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-09-26,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-09-29,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-09-30,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-01,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-02,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-03,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-06,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-07,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-08,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-09,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-10,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-13,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-14,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-15,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-16,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
2025-10-17,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.02500120922923088,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.013411656022071838,0.009423969313502312,0.025617005303502083,0.01490424107760191,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.01487131416797638,0.01354300882667303,0.011208833195269108,0.02087213285267353,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.016932286322116852,0.025617005303502083,0.009423969313502312,0.009423969313502312,0.025617005303502083,0.009423969313502312,0.025617005303502083,0.025617005303502083,0.009423969313502312
